substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
TELITHROMYCINE,RIFAMPICINE,telithromycine,rifampicine,high,ASDEC,"Diminution très importante des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation du métabolisme hépatique de la télithromycine par la rifampicine.",,239
TELITHROMYCINE,VENLAFAXINE,telithromycine,venlafaxine,low,APEC,Augmentation des concentrations de venlafaxine avec risque de surdosage.,,239
TEMSIROLIMUS,INHIBITEURS DE L'ENZYME DE CONVERSION,temsirolimus,inhibiteurs de l'enzyme de conversion,low,APEC,Majoration du risque d’angio-oedème.,,239
TENOFOVIR ALAFÉNAMIDE,P A S SODIQUE,tenofovir alafenamide,p a s sodique,low,APEC,Diminution des deux tiers de l’exposition du ténofovir avec une formulation de PAS calcique.,,239
TÉNOFOVIR ALAFÉNAMIDE,CICLOSPORINE,tenofovir alafenamide,ciclosporine,moderate,PE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec la ciclosporine, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour.",239
TÉNOFOVIR ALAFÉNAMIDE,COBICISTAT,tenofovir alafenamide,cobicistat,moderate,PE,"Avec l'atazanavir, le darunavir ou le lopinavir boostés par cobicistat, augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.","En cas de co-administration, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour. L’association avec les autres inhibiteurs de protéases du VIH n’a pas été étudiée.",239
TÉNOFOVIR ALAFÉNAMIDE,INDUCTEURS ENZYMATIQUES,tenofovir alafenamide,inducteurs enzymatiques,high,ASDEC,Diminution des concentrations plasmatiques du ténofovir alafénamide par diminution de son absorption par l’inducteur.,"Si l'association ne peut être évitée, surveillance clinique pendant l’association et 1 à 2 semaines après l’arrêt de l’inducteur.",239
TÉNOFOVIR ALAFÉNAMIDE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,tenofovir alafenamide,inhibiteurs de proteases boostes par ritonavir,moderate,PE,"Avec l'atazanavir, le darunavir ou le lopinavir, augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.","En cas de co-administration, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour. L’association avec les autres inhibiteurs de protéases du VIH n’a pas été étudiée.",239
TÉNOFOVIR ALAFÉNAMIDE,ITRACONAZOLE,tenofovir alafenamide,itraconazole,moderate,PE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec l’itraconazole, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour.",240
TÉNOFOVIR ALAFÉNAMIDE,KETOCONAZOLE,tenofovir alafenamide,ketoconazole,moderate,PE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec le kétoconazole, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour.",240
TÉNOFOVIR ALAFÉNAMIDE,RIFAMPICINE,tenofovir alafenamide,rifampicine,high,ASDEC,Diminution des concentrations plasmatiques du ténofovir alafénamide par diminution de son absorption par la rifampicine.,Surveillance clinique pendant l’association et 1 à 2 semaines après l’arrêt de la rifampicine.,240
TÉNOFOVIR ALAFÉNAMIDE,VERAPAMIL,tenofovir alafenamide,verapamil,moderate,PE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec le vérapamil, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour.",240
TENOFOVIR DISOPROXIL,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,tenofovir disoproxil,anti-inflammatoires non steroidiens,moderate,PE,"Risque de majoration de la néphrotoxicité du ténofovir, notamment avec des doses élevées de l'anti-inflammatoire ou en présence de facteurs de risque d'insuffisance rénale.","En cas d’association, surveiller la fonction rénale.",240
TENOFOVIR DISOPROXIL,ATAZANAVIR,tenofovir disoproxil,atazanavir,low,APEC,"Diminution d’environ un tiers de l’exposition à l’atazanavir chez le patient en cas d’association au ténofovir, comparativement au sujet sain recevant la même association.",Ne pas administrer l’atazanavir avec le ténofovir sans ritonavir.,240
TENOFOVIR DISOPROXIL,DIDANOSINE,tenofovir disoproxil,didanosine,high,ASDEC,"Risque d'échec du traitement antirétroviral, voire émergence de résistances. De plus, majoration du risque de la toxicité mitochondriale de la didanosine.",,240
TENOFOVIR DISOPROXIL,LÉDIPASVIR,tenofovir disoproxil,ledipasvir,moderate,PE,"Lors de sa co-administration avec un inhibiteur de protéase, augmentation des concentrations plasmatiques du ténofovir par le lédipasvir.","Surveillance clinique et biologique, notamment de la fonction rénale.",240
TENOFOVIR DISOPROXIL,P A S SODIQUE,tenofovir disoproxil,p a s sodique,low,APEC,Diminution des deux tiers de l’exposition du ténofovir avec une formulation de PAS calcique.,,240
TERBINAFINE,CICLOSPORINE,terbinafine,ciclosporine,moderate,PE,Diminution des concentrations sanguines de ciclosporine.,Contrôle des concentrations sanguines de ciclosporine et adaptation éventuelle de sa posologie pendant le traitement par terbinafine et après son arrêt.,240
TERBINAFINE,CODEINE,terbinafine,codeine,high,ASDEC,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.,,240
TERBINAFINE,MEQUITAZINE,terbinafine,mequitazine,high,ASDEC,"Risque de majoration des effets indésirables de la méquitazine, par inhibition de son métabolisme par l’inhibiteur enzymatique.",,240
TERBINAFINE,METOPROLOL,terbinafine,metoprolol,moderate,PE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par la terbinafine.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par la terbinafine.",240
TERBINAFINE,PROPAFENONE,terbinafine,propafenone,moderate,PE,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par la terbinafine.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par la terbinafine.",240
TERBINAFINE,RIFAMPICINE,terbinafine,rifampicine,moderate,PE,"Diminution des concentrations plasmatiques et de l'efficacité de la terbinafine, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique. Si besoin, adaptation de la posologie de la terbinafine pendant le traitement par la rifampicine.",241
TERBINAFINE,TAMOXIFENE,terbinafine,tamoxifene,high,ASDEC,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la terbinafine.",,241
TERBINAFINE,TETRABENAZINE,terbinafine,tetrabenazine,critical,CI,"Augmentation, possiblement très importante, de l’exposition des métabolites actifs de la tétrabénazine.",,241
TERBINAFINE,TRAMADOL,terbinafine,tramadol,high,ASDEC,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.,,241
TÉRIFLUNOMIDE,SELEXIPAG,teriflunomide,selexipag,moderate,PE,Risque d’augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l’association. Réduire de moitié la posologie (une seule prise par jour).,241
TÉRIFLUNOMIDE,VACCINS VIVANTS ATTÉNUÉS,teriflunomide,vaccins vivants attenues,high,ASDEC,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",,241
TETRABENAZINE,BUPROPION,tetrabenazine,bupropion,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,241
TETRABENAZINE,CINACALCET,tetrabenazine,cinacalcet,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,241
TETRABENAZINE,DOPAMINERGIQUES,tetrabenazine,dopaminergiques,high,ASDEC,Antagonisme réciproque entre le dopaminergique et la tétrabénazine.,,241
TETRABENAZINE,DULOXETINE,tetrabenazine,duloxetine,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,241
TETRABENAZINE,FLUOXETINE,tetrabenazine,fluoxetine,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,241
TETRABENAZINE,IMAO IRRÉVERSIBLES,tetrabenazine,imao irreversibles,critical,CI,"Risque de crises hypertensives. Du fait de la durée d'action de l'IMAO, cette interaction est encore théoriquement possible 15 jours après son arrêt.",,241
TETRABENAZINE,LEVODOPA,tetrabenazine,levodopa,high,ASDEC,Antagonisme réciproque entre la lévodopa et la tétrabénazine.,,241
TETRABENAZINE,PAROXETINE,tetrabenazine,paroxetine,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,241
TETRABENAZINE,QUINIDINE,tetrabenazine,quinidine,critical,CI,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,,242
TETRABENAZINE,TERBINAFINE,tetrabenazine,terbinafine,critical,CI,"Augmentation, possiblement très importante, de l’exposition des métabolites actifs de la tétrabénazine.",,242
THALIDOMIDE,DIDANOSINE,thalidomide,didanosine,moderate,PE,Risque majoré de survenue de neuropathies périphériques par addition d'effets indésirables.,"Surveillance clinique et biologique régulière, notamment en début d'association.",242
THALIDOMIDE,STAVUDINE,thalidomide,stavudine,moderate,PE,Risque majoré de survenue de neuropathies périphériques par addition d'effets indésirables.,"Surveillance clinique et biologique régulière, notamment en début d'association.",242
THEOPHYLLINE,GIVOSIRAN,theophylline,givosiran,moderate,PE,Risque d’augmentation de la théophyllinémie avec signes de surdosage par diminution de son métabolisme hépatique.,Surveillance clinique et éventuellement de la théophyllinémie.,242
THEOPHYLLINE,LITHIUM,theophylline,lithium,moderate,PE,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.,242
THEOPHYLLINE,PROPAFENONE,theophylline,propafenone,moderate,PE,Risque d’augmentation de la théophyllinémie par diminution de son métabolisme hépatique par la propafénone.,Surveillance clinique et éventuellement de la théophyllinémie.,242
THEOPHYLLINE,VÉMURAFÉNIB,theophylline,vemurafenib,moderate,PE,"Augmentation importante des concentrations de théophylline, avec risques de majoration de ses effets indésirables.",Surveillance clinique et adaptation de la posologie de la théophylline pendant le traitement par vémurafénib et après son arrêt.,242
"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",CIMETIDINE,"theophylline (et, par extrapolation, aminophylline)",cimetidine,moderate,PE,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de la théophyllinémie avec risque de surdosage (diminution du métabolisme de la théophylline).,"Surveillance clinique et éventuellement de la théophyllinémie. S'il y a lieu, adaptation de la théophylline pendant le traitement par la cimétidine et après son arrêt.",242
"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",CIPROFLOXACINE,"theophylline (et, par extrapolation, aminophylline)",ciprofloxacine,moderate,PE,"Augmentation de la théophyllinémie avec risque de surdosage, par diminution de son métabolisme hépatique par la ciprofloxacine.",Surveillance clinique et éventuellement de la théophyllinémie.,242
"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",CLARITHROMYCINE,"theophylline (et, par extrapolation, aminophylline)",clarithromycine,low,APEC,"Risque d'augmentation de la théophyllinémie, particulièrement chez l'enfant.",,242
"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",DIPYRIDAMOLE,"theophylline (et, par extrapolation, aminophylline)",dipyridamole,moderate,PE,Avec le dipyridamole par voie injectable : réduction de l’effet vasodilatateur du dipyridamole par la théophylline.,Interrompre un traitement par théophylline au moins 5 jours avant une imagerie myocardique avec le dipyridamole.,242
