"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","ISONIAZIDE","Potentialisation de l'effet hépatotoxique de l'isoniazide, avec formation accrue de métabolites toxiques.","Précaution d'emploi","En cas d'intervention programmée, arrêter par prudence l'isoniazide 1 semaine avant et ne le reprendre que 15 jours après."
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","ISOPRENALINE","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Association DECONSEILLEE",""
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV)","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","A prendre en compte",""
"ANESTHÉSIQUES VOLATILS HALOGÉNÉS","SYMPATHOMIMÉTIQUES INDIRECTS","Poussée hypertensive peropératoire.","Précaution d'emploi","En cas d'intervention programmée, interrompre le traitement quelques jours avant."
"ANTABUSE (RÉACTION)","ALCOOL (BOISSON OU EXCIPIENT)","Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).","Association DECONSEILLEE","Éviter les boissons alcoolisées et médicaments à base d'alcool. Prendre en compte la demi-vie d'élimination."
"ANTAGONISTES DES CANAUX CALCIQUES","IDÉLALISIB","Majoration des effets indésirables de l'antagoniste calcique (hypotension orthostatique, notamment chez le sujet âgé).","Précaution d'emploi","Surveillance clinique et adaptation de la posologie de l'antagoniste calcique pendant le traitement et après son arrêt."
"ANTAGONISTES DES CANAUX CALCIQUES","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son métabolisme.","Association déconseillée / Précaution d'emploi","Association déconseillée avec la nimodipine. Précaution d'emploi pour les autres: surveillance clinique et adaptation posologique."
"ANTAGONISTES DES CANAUX CALCIQUES","INHIBITEURS PUISSANTS DU CYP3A4","Majoration des effets indésirables de l'antagoniste calcique (hypotension, œdèmes, sujet âgé).","Association déconseillée / Précaution d'emploi","Association déconseillée avec la lercanidipine. Précaution d'emploi avec les autres: surveillance clinique et adaptation posologique."
"ANTAGONISTES DES CANAUX CALCIQUES","RIFAMPICINE","Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son métabolisme hépatique.","Association déconseillée / Précaution d'emploi","Association déconseillée avec la nimodipine. Précaution d'emploi pour les autres: surveillance clinique et adaptation posologique."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","ACIDE ACETYLSALICYLIQUE","Doses anti-inflammatoires ou antalgiques/antipyrétiques: Insuffisance rénale aiguë chez le patient à risque. Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
